cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	15.80000000	57.30000000	mua	852.12762451	2	25.00000000	2.77616795		3688	1.00000000
1	34.20000000	1.40000000	good	1803.77685547	2	25.00000000	6.12217297		8133	1.00000000
2	14.70000000	52.50000000	mua	908.57043457	1	0.00000000	6.57232167		8731	1.00000000
3	17.50000000	53.40000000	mua	1102.76293945	1	0.00000000	12.86612324		17092	1.00000000
4	15.30000000	67.80000000	mua	842.58508301	2	25.00000000	0.62177731		826	1.00000000
5	15.90000000	0.00000000	good	1027.36633301	2	25.00000000	0.22206333	noise	295	1.00000000
6	28.80000000	3.10000000	good	1731.54418945	2	25.00000000	1.84952404	good	2457	1.00000000
7	14.40000000	0.00000000	mua	704.88836670	2	25.00000000	0.18066169		240	1.00000000
8	18.50000000	32.70000000	mua	1205.73999023	2	25.00000000	0.97180933		1291	1.00000000
9	16.30000000	47.30000000	mua	1092.39941406	3	37.50000000	1.84726576		2454	1.00000000
10	20.80000000	41.40000000	mua	1354.44641113	2	25.00000000	0.79641694		1058	1.00000000
11	19.60000000	12.70000000	good	1046.17504883	2	25.00000000	3.53193601	good	4692	1.00000000
12	20.60000000	17.10000000	good	1450.16479492	2	25.00000000	9.68497201	good	12866	1.00000000
13	38.10000000	0.00000000	mua	2526.50390625	2	25.00000000	0.09560014		127	1.00000000
14	23.50000000	0.00000000	mua	1008.04077148	20	75.00000000	0.27626183		367	1.00000000
15	14.60000000	76.90000000	mua	794.86688232	3	37.50000000	2.83488299		3766	1.00000000
16	33.30000000	7.60000000	good	2153.50683594	2	25.00000000	3.89627041	good	5176	1.00000000
17	30.50000000	2.90000000	good	1973.37255859	3	37.50000000	4.95013026	good	6576	1.00000000
18	16.20000000	73.40000000	mua	854.05810547	5	62.50000000	1.02073854		1356	1.00000000
19	21.00000000	15.40000000	good	1593.89550781	5	62.50000000	2.06556530		2744	1.00000000
20	15.80000000	83.00000000	mua	967.50231934	4	50.00000000	1.83070511		2432	1.00000000
21	17.50000000	97.60000000	mua	1002.61340332	5	62.50000000	1.41518323		1880	1.00000000
22	37.80000000	0.00000000	good	2311.74609375	5	62.50000000	3.03210534	good	4028	1.00000000
23	15.80000000	55.40000000	mua	940.29089355	4	50.00000000	1.14117967		1516	1.00000000
24	15.10000000	33.90000000	mua	926.43426514	20	75.00000000	4.59106516		6099	1.00000000
28	16.50000000	85.40000000	mua	923.68945312	22	87.50000000	1.17204270		1557	1.00000000
30	29.10000000	16.90000000	good	1701.74523926	22	87.50000000	2.49313130	mua	3312	1.00000000
31	15.20000000	45.20000000	mua	987.51055908	22	87.50000000	3.91207831		5197	1.00000000
32	16.50000000	51.10000000	mua	898.68505859	22	87.50000000	6.09733198		8100	1.00000000
33	16.70000000	24.80000000	mua	1114.81579590	19	100.00000000	4.44126651		5900	1.00000000
34	21.40000000	19.80000000	good	993.69152832	19	100.00000000	3.99262331	good	5304	1.00000000
35	39.10000000	0.00000000	good	2637.39990234	18	125.00000000	1.50175028	good	1995	1.00000000
36	12.20000000	32.50000000	mua	697.69665527	19	100.00000000	0.90707223		1205	1.00000000
38	22.30000000	129.50000000	mua	1458.31909180	16	150.00000000	2.30644756		3064	1.00000000
39	17.30000000	66.80000000	mua	1045.90991211	18	125.00000000	2.07535115		2757	1.00000000
41	35.00000000	0.00000000	good	2395.18872070	18	125.00000000	3.71485597	good	4935	1.00000000
42	17.90000000	71.70000000	mua	1107.31530762	18	125.00000000	12.30682477		16349	1.00000000
43	19.40000000	73.10000000	mua	1431.79858398	16	150.00000000	5.38974037		7160	1.00000000
47	13.80000000	0.00000000	good	2393.51513672	16	150.00000000	21.40464629	noise	28435	1.00000000
48	13.70000000	0.20000000	good	2446.72753906	16	150.00000000	30.15770510	noise	40063	1.00000000
49	15.50000000	226.40000000	mua	795.01794434	6	162.50000000	0.47875347		636	1.00000000
50	20.90000000	41.10000000	mua	1147.88769531	0	175.00000000	4.17554327		5547	1.00000000
51	25.10000000	9.30000000	good	1742.14599609	0	175.00000000	5.39199864	good	7163	1.00000000
52	14.70000000	61.00000000	mua	868.68908691	0	175.00000000	4.17027397		5540	1.00000000
