cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	15.00000000	130.40000000	mua	1211.43505859	1	0.00000000	1.11468526		2734	1.00000000
1	31.90000000	0.00000000	good	4177.95605469	1	0.00000000	0.90960600		2231	1.00000000
2	17.10000000	38.80000000	mua	1823.75866699	1	0.00000000	9.18697983		22533	1.00000000
3	14.90000000	79.00000000	mua	1005.02465820	2	25.00000000	1.20845907		2964	1.00000000
4	20.10000000	0.00000000	good	3031.24218750	2	25.00000000	0.24870446		610	1.00000000
5	15.80000000	133.30000000	mua	1398.42700195	2	25.00000000	0.32616979		800	1.00000000
6	15.80000000	47.30000000	mua	1362.20678711	2	25.00000000	6.24655918		15321	1.00000000
7	123.70000000	0.00000000	mua	18503.38671875	19	100.00000000	0.00407712		10	1.00000000
8	31.30000000	6.80000000	good	3964.38232422	20	75.00000000	1.19622770		2934	1.00000000
9	25.50000000	37.20000000	mua	2230.07519531	20	75.00000000	0.62909998		1543	1.00000000
10	15.00000000	126.80000000	mua	1282.21240234	20	75.00000000	2.44668113		6001	1.00000000
11	18.60000000	40.80000000	mua	2115.01074219	20	75.00000000	0.53328761		1308	1.00000000
12	14.70000000	65.90000000	mua	1439.48999023	20	75.00000000	7.58997100		18616	1.00000000
13	39.50000000	6.90000000	good	3418.73999023	22	87.50000000	4.71926914		11575	1.00000000
14	15.80000000	156.30000000	mua	1125.38476562	19	100.00000000	1.03355052		2535	1.00000000
15	81.90000000	645.50000000	mua	11231.53417969	19	100.00000000	0.01019281		25	1.00000000
16	20.50000000	72.40000000	mua	895.09704590	23	112.50000000	7.04282118		17274	1.00000000
17	16.00000000	227.10000000	mua	1135.72497559	23	112.50000000	4.38535282		10756	1.00000000
18	21.30000000	72.80000000	mua	905.48303223	23	112.50000000	7.82114384		19183	1.00000000
19	83.20000000	43.70000000	mua	3577.16674805	23	112.50000000	3.49123988		8563	1.00000000
20	91.40000000	46.50000000	mua	3904.09912109	23	112.50000000	3.45332265		8470	1.00000000
21	19.20000000	84.00000000	mua	2097.59326172	18	125.00000000	9.40795987		23075	1.00000000
22	15.20000000	209.00000000	mua	1077.03271484	23	112.50000000	3.27392926		8030	1.00000000
23	26.90000000	104.20000000	mua	1244.55908203	23	112.50000000	10.39340034		25492	1.00000000
24	28.90000000	103.80000000	mua	1298.27075195	23	112.50000000	11.55538022		28342	1.00000000
25	16.50000000	85.10000000	mua	1395.27331543	16	150.00000000	3.05539550		7494	1.00000000
26	35.00000000	44.40000000	mua	3369.10595703	16	150.00000000	0.21201036		520	1.00000000
27	14.80000000	84.20000000	mua	843.90258789	0	175.00000000	0.59036732		1448	1.00000000
28	15.00000000	77.40000000	mua	1315.43225098	0	175.00000000	0.22383402		549	1.00000000
29	15.10000000	80.50000000	mua	1186.25537109	0	175.00000000	1.82410455		4474	1.00000000
30	25.40000000	40.00000000	mua	2627.40551758	0	175.00000000	0.12639079		310	1.00000000
31	31.80000000	6.00000000	good	3077.03710938	0	175.00000000	1.34178097		3291	1.00000000
32	15.00000000	171.40000000	mua	1271.56445312	14	0.00000000	0.35552507		872	2.00000000
33	37.90000000	5.70000000	good	4992.46679688	14	0.00000000	0.18958619		465	2.00000000
34	15.10000000	102.40000000	mua	1658.81994629	14	0.00000000	1.19255829		2925	2.00000000
35	13.90000000	218.70000000	mua	1413.57104492	13	25.00000000	1.35115835		3314	2.00000000
36	14.20000000	209.60000000	mua	1864.92871094	13	25.00000000	3.46963114		8510	2.00000000
37	14.00000000	264.90000000	mua	1581.42700195	13	25.00000000	1.21620560		2983	2.00000000
38	15.90000000	67.90000000	mua	1030.09643555	11	50.00000000	2.09278691		5133	2.00000000
39	15.00000000	84.40000000	mua	850.10205078	11	50.00000000	1.39192958		3414	2.00000000
40	16.10000000	57.30000000	mua	1091.76806641	11	50.00000000	2.66276862		6531	2.00000000
41	15.70000000	82.10000000	mua	911.05133057	27	75.00000000	1.60067824		3926	2.00000000
42	14.70000000	131.10000000	mua	767.18737793	10	62.50000000	0.70004191		1717	2.00000000
43	13.60000000	74.10000000	mua	810.10253906	28	100.00000000	0.38977290		956	2.00000000
44	14.00000000	114.60000000	mua	858.12182617	29	125.00000000	1.54849108		3798	2.00000000
45	15.10000000	250.40000000	mua	1311.63159180	29	125.00000000	4.08568433		10021	2.00000000
46	14.40000000	155.60000000	mua	941.93182373	9	162.50000000	1.40456866		3445	2.00000000
47	100.10000000	57.70000000	mua	4406.37402344	31	150.00000000	2.90372655		7122	2.00000000
48	77.70000000	66.00000000	mua	3395.62109375	31	150.00000000	5.24929505		12875	2.00000000
49	19.60000000	101.40000000	mua	904.09814453	31	150.00000000	17.62050746		43218	2.00000000
50	24.10000000	100.70000000	mua	1104.58105469	31	150.00000000	18.79390327		46096	2.00000000
51	15.10000000	57.80000000	mua	685.86059570	26	187.50000000	0.63195397		1550	2.00000000
52	14.60000000	41.10000000	mua	750.04870605	26	187.50000000	1.26798506		3110	2.00000000
