"trial","sample","cell","time_in_ms","recording_name","hemi","genotype","sex","age","region"
38,1284,1,128.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
38,2685,1,268.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
38,5221,1,522.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
38,7831,1,783.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
39,410,1,41,"20080930002","LH","CBA/J","M","P30:60","ACx"
39,1932,1,193.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
39,3191,1,319.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
39,4826,1,482.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
39,7072,1,707.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
40,506,1,50.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
40,14656,1,1465.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
42,1084,1,108.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
43,917,1,91.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
43,9627,1,962.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
44,703,1,70.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
44,2911,1,291.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
45,135,1,13.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
45,1376,1,137.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
45,13824,1,1382.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
45,15399,1,1539.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
46,2987,1,298.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
46,5805,1,580.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
48,152,1,15.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
48,3795,1,379.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
49,3288,1,328.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
50,2077,1,207.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
50,3290,1,329,"20080930002","LH","CBA/J","M","P30:60","ACx"
51,204,1,20.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
51,3304,1,330.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
51,11328,1,1132.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
53,2415,1,241.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
53,10834,1,1083.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
53,14691,1,1469.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
54,1443,1,144.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
54,4677,1,467.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
54,8824,1,882.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
54,10547,1,1054.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
54,11498,1,1149.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
56,2769,1,276.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
56,9710,1,971,"20080930002","LH","CBA/J","M","P30:60","ACx"
56,10908,1,1090.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
56,11910,1,1191,"20080930002","LH","CBA/J","M","P30:60","ACx"
56,15244,1,1524.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
58,12703,1,1270.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
59,1108,1,110.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
59,4230,1,423,"20080930002","LH","CBA/J","M","P30:60","ACx"
59,6056,1,605.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
59,10634,1,1063.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
60,807,1,80.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
60,2129,1,212.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
60,3283,1,328.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
60,6564,1,656.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
60,7480,1,748,"20080930002","LH","CBA/J","M","P30:60","ACx"
60,9730,1,973,"20080930002","LH","CBA/J","M","P30:60","ACx"
61,338,1,33.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
62,11311,1,1131.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
62,12604,1,1260.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
