cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	16.40000000	48.90000000	mua	584.43878174	3	37.50000000	4.81116165	unsorted	7052	1.00000000
1	16.10000000	87.70000000	mua	518.88720703	1	0.00000000	3.64521224		5343	1.00000000
2	16.00000000	57.90000000	mua	717.97546387	1	0.00000000	9.57115525		14029	1.00000000
3	15.10000000	79.90000000	mua	577.87194824	1	0.00000000	7.89352528		11570	1.00000000
4	53.00000000	0.00000000	good	2751.89526367	4	50.00000000	1.66534963	noise	2441	1.00000000
5	18.10000000	73.80000000	mua	664.92712402	5	62.50000000	3.68478220		5401	1.00000000
6	18.50000000	52.80000000	mua	836.07861328	4	50.00000000	5.58686936		8189	1.00000000
7	16.10000000	0.00000000	good	1418.25927734	16	150.00000000	0.41821357	noise	613	1.00000000
8	14.40000000	107.10000000	mua	504.51269531	20	75.00000000	0.90465121		1326	1.00000000
9	15.80000000	110.60000000	mua	542.73547363	20	75.00000000	1.57188265		2304	1.00000000
10	16.00000000	88.20000000	mua	590.27258301	20	75.00000000	2.26572147		3321	1.00000000
11	15.20000000	196.60000000	mua	626.84875488	23	112.50000000	0.36022311		528	1.00000000
12	15.70000000	114.50000000	mua	515.00567627	18	125.00000000	2.65459869		3891	1.00000000
13	15.70000000	57.90000000	mua	566.34893799	16	150.00000000	1.01994990		1495	1.00000000
14	15.40000000	116.40000000	mua	657.30834961	16	150.00000000	1.38085524		2024	1.00000000
15	15.90000000	129.90000000	mua	620.49658203	16	150.00000000	0.67951177		996	1.00000000
16	14.10000000	0.00000000	good	2503.07275391	16	150.00000000	39.29774847	noise	57601	1.00000000
17	18.30000000	57.40000000	mua	763.67895508	16	150.00000000	2.60274840		3815	1.00000000
18	16.20000000	68.80000000	mua	582.31341553	16	150.00000000	4.29334093		6293	1.00000000
19	13.80000000	0.00000000	good	2509.30224609	16	150.00000000	30.47637579	noise	44671	1.00000000
20	16.30000000	99.40000000	mua	654.17907715	0	175.00000000	3.76392212		5517	1.00000000
23	16.20000000	124.20000000	mua	993.55053711	14	337.50000000	1.78883520		2622	1.00000000
24	15.40000000	65.80000000	mua	934.73291016	14	337.50000000	3.78711831		5551	1.00000000
25	25.00000000	9.60000000	good	1542.96472168	14	337.50000000	3.70047374	good	5424	1.00000000
26	18.20000000	52.30000000	mua	1139.02233887	14	337.50000000	10.89060882		15963	1.00000000
27	16.30000000	134.30000000	mua	749.94677734	30	350.00000000	2.04194651		2993	1.00000000
28	15.70000000	23.90000000	mua	819.66027832	13	362.50000000	4.65424628		6822	1.00000000
29	28.20000000	5.00000000	good	1438.74487305	13	362.50000000	3.84306205	good	5633	1.00000000
30	16.90000000	80.90000000	mua	871.28930664	30	350.00000000	6.66071628		9763	1.00000000
31	16.00000000	58.90000000	mua	694.75598145	13	362.50000000	2.79855149		4102	1.00000000
32	15.50000000	95.20000000	mua	809.86389160	11	387.50000000	0.41343788		606	1.00000000
34	17.00000000	61.00000000	mua	793.90039062	11	387.50000000	3.62406277		5312	1.00000000
35	15.00000000	77.80000000	mua	655.71972656	27	412.50000000	1.69605046		2486	1.00000000
37	14.00000000	59.00000000	mua	607.39105225	27	412.50000000	1.04587504		1533	1.00000000
39	15.00000000	46.30000000	mua	768.60516357	28	437.50000000	5.41972038		7944	1.00000000
40	10.80000000	0.00000000	good	665.42687988	28	437.50000000	0.41821357	noise	613	1.00000000
41	13.20000000	89.70000000	mua	703.84735107	28	437.50000000	1.71992889		2521	1.00000000
42	42.10000000	0.00000000	good	2831.69726562	28	437.50000000	5.12908583	good	7518	1.00000000
43	18.80000000	7.00000000	good	874.26129150	24	450.00000000	4.22852806	good	6198	1.00000000
44	16.40000000	61.60000000	mua	817.90100098	29	462.50000000	1.34537873		1972	1.00000000
45	17.30000000	31.50000000	mua	938.92712402	29	462.50000000	6.13197971		8988	1.00000000
46	15.20000000	160.60000000	mua	629.10485840	31	487.50000000	0.25242907		370	1.00000000
47	16.20000000	0.00000000	good	1286.10229492	8	475.00000000	0.57512894	noise	843	1.00000000
48	12.40000000	0.00000000	good	2318.91113281	8	475.00000000	29.99471383	noise	43965	1.00000000
49	13.90000000	0.00000000	good	2487.45996094	8	475.00000000	35.97318938	noise	52728	1.00000000
50	16.90000000	36.90000000	mua	984.41369629	8	475.00000000	6.58021187		9645	1.00000000
51	18.60000000	33.80000000	mua	1285.22509766	9	500.00000000	14.31545730	good	20983	1.00000000
52	16.10000000	72.70000000	mua	845.44976807	8	475.00000000	2.08629216		3058	1.00000000
54	16.80000000	57.30000000	mua	909.94116211	26	525.00000000	9.65165965		14147	1.00000000
56	15.90000000	101.30000000	mua	566.01855469	21	187.50000000	4.69313400		6879	1.00000000
59	16.40000000	34.20000000	mua	725.36181641	27	412.50000000	6.12720402	unsorted	8981	1.00000000
60	15.60000000	55.30000000	mua	775.42803955	26	525.00000000	3.21471833		4712	1.00000000
61	33.30000000	0.00000000	good	1772.95520020	11	387.50000000	3.23245659	good	4738	1.00000000
