cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	17.90000000	141.00000000	mua	1379.80163574	5	0.00000000	2.31449151		4775	1.00000000
1	17.20000000	67.90000000	mua	1087.64624023	5	0.00000000	3.55341095		7331	1.00000000
2	18.80000000	56.60000000	mua	1040.94824219	4	30.00000000	4.09143934		8441	1.00000000
3	15.50000000	11.70000000	good	1206.47167969	8	75.00000000	0.89089747	good	1838	1.00000000
4	15.90000000	23.60000000	mua	1364.96374512	23	75.00000000	2.31691507		4780	1.00000000
5	16.80000000	115.30000000	mua	1183.28381348	4	30.00000000	2.74346010		5660	1.00000000
6	15.90000000	110.00000000	mua	1488.70800781	22	45.00000000	1.86274155		3843	1.00000000
7	16.80000000	82.10000000	mua	897.12255859	3	60.00000000	2.22191185		4584	1.00000000
8	15.00000000	79.70000000	mua	1198.74011230	9	45.00000000	3.11426345		6425	1.00000000
9	14.90000000	97.40000000	mua	1251.91540527	9	45.00000000	6.55473691		13523	1.00000000
10	14.60000000	65.20000000	mua	1252.66918945	22	45.00000000	6.64392360		13707	1.00000000
11	17.10000000	74.90000000	mua	1645.19116211	8	75.00000000	6.87900808		14192	1.00000000
12	14.50000000	3.30000000	good	6359.34033203	8	75.00000000	9.61471281	noise	19836	1.00000000
13	14.50000000	6.70000000	good	3202.76220703	23	75.00000000	28.09816934	noise	57969	1.00000000
14	13.60000000	5.30000000	good	2860.42358398	23	75.00000000	13.93008830	noise	28739	1.00000000
15	13.20000000	1.10000000	good	5886.97216797	8	75.00000000	24.37171682	noise	50281	1.00000000
16	16.90000000	108.00000000	mua	4444.74121094	24	105.00000000	2.21270236		4565	1.00000000
17	16.80000000	96.10000000	mua	4217.54687500	24	105.00000000	2.25293331		4648	1.00000000
18	16.90000000	57.50000000	mua	991.09582520	2	90.00000000	4.53010213		9346	1.00000000
19	17.10000000	25.40000000	mua	3765.92138672	24	105.00000000	4.32313085		8919	1.00000000
20	18.10000000	51.20000000	mua	1067.66040039	2	90.00000000	5.18833867		10704	1.00000000
21	15.40000000	20.60000000	mua	3118.23388672	24	105.00000000	8.09660026		16704	1.00000000
22	17.60000000	8.40000000	good	2943.98242188	24	105.00000000	6.51596009	good	13443	1.00000000
23	16.50000000	128.40000000	mua	1184.58911133	17	120.00000000	3.33674546		6884	1.00000000
24	16.10000000	57.20000000	mua	1626.62585449	6	135.00000000	2.05323268		4236	1.00000000
25	18.40000000	116.60000000	mua	974.76275635	17	120.00000000	3.72209012		7679	1.00000000
26	17.30000000	97.10000000	mua	1349.65124512	25	135.00000000	3.20296543		6608	1.00000000
27	16.00000000	51.70000000	mua	1931.64819336	6	135.00000000	3.22089971		6645	1.00000000
28	17.10000000	83.10000000	mua	1330.52148438	25	135.00000000	3.60382082		7435	1.00000000
29	16.60000000	26.50000000	mua	1585.57666016	6	135.00000000	3.29748393		6803	1.00000000
30	15.50000000	76.00000000	mua	1897.50610352	6	135.00000000	4.70362841		9704	1.00000000
31	15.90000000	41.00000000	mua	1756.31860352	6	135.00000000	3.95038866		8150	1.00000000
32	16.40000000	140.00000000	mua	1059.64538574	10	165.00000000	2.63585442		5438	1.00000000
33	16.80000000	133.30000000	mua	759.00207520	26	150.00000000	2.56411730		5290	1.00000000
34	16.70000000	122.20000000	mua	1082.90710449	10	165.00000000	1.77355486		3659	1.00000000
35	16.80000000	91.50000000	mua	1147.24206543	21	165.00000000	2.87966368		5941	1.00000000
36	15.30000000	84.10000000	mua	1070.65136719	21	165.00000000	3.35322561		6918	1.00000000
37	18.00000000	112.50000000	mua	876.12225342	21	165.00000000	3.14576962		6490	1.00000000
38	133.30000000	0.00000000	mua	9043.76660156	11	195.00000000	0.00193884		4	1.00000000
39	16.50000000	88.90000000	mua	796.77221680	11	195.00000000	3.77395412		7786	1.00000000
40	15.00000000	100.80000000	mua	806.40643311	27	180.00000000	3.64405177		7518	1.00000000
41	14.60000000	112.20000000	mua	941.41229248	20	195.00000000	5.88195906		12135	1.00000000
42	18.70000000	101.20000000	mua	905.34179688	28	210.00000000	3.16855100		6537	1.00000000
43	16.60000000	143.10000000	mua	1216.31616211	12	225.00000000	1.88212996		3883	1.00000000
44	15.80000000	113.70000000	mua	1433.22290039	19	225.00000000	1.33634620		2757	1.00000000
45	18.80000000	82.00000000	mua	846.98376465	28	210.00000000	2.03626782		4201	1.00000000
46	15.40000000	113.40000000	mua	1387.69482422	19	225.00000000	2.25244860		4647	1.00000000
47	14.20000000	71.00000000	mua	955.17077637	19	225.00000000	3.47876557		7177	1.00000000
48	16.40000000	109.60000000	mua	738.19451904	29	240.00000000	2.45505749		5065	1.00000000
