cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	14.30000000	21.00000000	mua	1290.94836426	1	0.00000000	2.06860267		5244	1.00000000
1	14.40000000	77.10000000	mua	827.22509766	2	25.00000000	0.82917674		2102	1.00000000
2	15.50000000	32.50000000	mua	1208.22143555	2	25.00000000	3.12617776		7925	1.00000000
3	21.50000000	10.70000000	good	2588.04199219	4	50.00000000	3.98927895		10113	1.00000000
4	14.00000000	108.10000000	mua	860.33355713	20	75.00000000	1.07611520		2728	1.00000000
5	16.00000000	55.40000000	mua	1358.12426758	20	75.00000000	6.77305642		17170	1.00000000
6	14.10000000	141.50000000	mua	585.78570557	18	125.00000000	0.24496611		621	1.00000000
7	16.20000000	118.50000000	mua	687.64190674	23	112.50000000	0.56212029		1425	1.00000000
8	17.50000000	61.30000000	mua	1589.28503418	18	125.00000000	5.52574108		14008	1.00000000
9	21.20000000	58.30000000	mua	859.89636230	7	137.50000000	4.54745454		11528	1.00000000
10	20.70000000	61.40000000	mua	853.78466797	7	137.50000000	6.04920328		15335	1.00000000
11	16.70000000	83.00000000	mua	1645.63623047	16	150.00000000	3.29146085		8344	1.00000000
12	14.80000000	97.60000000	mua	1038.52758789	16	150.00000000	0.24181034		613	1.00000000
13	13.70000000	0.00000000	good	1053.07238770	21	187.50000000	0.06942679		176	1.00000000
14	18.20000000	46.70000000	mua	2085.83789062	0	175.00000000	1.31595319		3336	1.00000000
15	15.00000000	67.70000000	mua	1094.45141602	14	0.00000000	1.51516073		3841	2.00000000
16	14.50000000	174.30000000	mua	1084.58239746	30	12.50000000	0.64338119		1631	2.00000000
17	14.30000000	60.40000000	mua	998.12493896	11	50.00000000	3.35220929		8498	2.00000000
18	26.30000000	58.60000000	mua	2395.16308594	13	25.00000000	2.46149517		6240	2.00000000
19	14.40000000	61.50000000	mua	970.92242432	12	37.50000000	0.78972970		2002	2.00000000
20	14.40000000	43.20000000	mua	1308.95703125	11	50.00000000	1.46940217		3725	2.00000000
21	14.40000000	183.00000000	mua	914.91235352	11	50.00000000	0.61813509		1567	2.00000000
22	152.80000000	0.00000000	mua	15715.44335938	29	125.00000000	0.00039447		1	2.00000000
23	14.80000000	201.00000000	mua	1280.41015625	27	75.00000000	0.75264949		1908	2.00000000
24	17.70000000	74.20000000	mua	654.92199707	25	87.50000000	8.33318678		21125	2.00000000
25	16.80000000	67.20000000	mua	629.01000977	25	87.50000000	12.08972821		30648	2.00000000
26	19.70000000	656.10000000	mua	1630.38610840	28	100.00000000	0.15463239		392	2.00000000
27	12.90000000	111.80000000	mua	1002.41442871	8	137.50000000	0.88519153		2244	2.00000000
28	18.10000000	111.10000000	mua	1071.64990234	28	100.00000000	0.06469314		164	2.00000000
29	7.90000000	356.30000000	mua	586.87371826	26	187.50000000	0.36133487		916	2.00000000
