cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	22.10000000	0.00000000	good	2971.10131836	1	0.00000000	2.34453295		4003	1.00000000
1	14.30000000	32.30000000	mua	1762.08251953	1	0.00000000	10.60340360		18104	1.00000000
2	13.70000000	127.00000000	mua	1411.09887695	1	0.00000000	0.37777261		645	1.00000000
3	14.50000000	172.70000000	mua	1374.99279785	2	25.00000000	0.60970742		1041	1.00000000
4	13.80000000	136.80000000	mua	1094.39184570	2	25.00000000	0.31334627		535	1.00000000
5	14.70000000	41.10000000	mua	1473.73547363	2	25.00000000	4.84896036		8279	1.00000000
6	15.10000000	51.30000000	mua	1437.61413574	4	50.00000000	3.14049106		5362	1.00000000
7	13.80000000	96.00000000	mua	1001.45343018	4	50.00000000	0.26824784		458	1.00000000
8	13.90000000	34.90000000	mua	1023.37109375	20	75.00000000	1.10637591		1889	1.00000000
9	13.50000000	0.00000000	mua	1007.83081055	20	75.00000000	0.10308214		176	1.00000000
10	17.10000000	0.00000000	good	2464.21777344	20	75.00000000	0.81704309		1395	1.00000000
11	23.90000000	0.00000000	good	2839.04614258	19	100.00000000	0.70927540		1211	1.00000000
12	15.50000000	92.10000000	mua	857.34631348	23	112.50000000	0.59155091		1010	1.00000000
13	15.10000000	139.10000000	mua	898.83044434	18	125.00000000	0.12709559		217	1.00000000
14	14.10000000	33.60000000	mua	1322.10888672	18	125.00000000	0.66769112		1140	1.00000000
15	20.50000000	0.90000000	good	3010.43017578	18	125.00000000	16.46678592		28115	1.00000000
16	14.30000000	45.60000000	mua	1481.43457031	18	125.00000000	0.45508421		777	1.00000000
17	23.10000000	87.10000000	mua	1262.57031250	7	137.50000000	4.14144205		7071	1.00000000
18	22.00000000	86.70000000	mua	1208.57617188	7	137.50000000	6.13982987		10483	1.00000000
19	13.80000000	81.10000000	mua	1051.06591797	16	150.00000000	0.21143552		361	1.00000000
20	14.20000000	57.70000000	mua	1427.97949219	16	150.00000000	0.79478671		1357	1.00000000
21	13.40000000	0.00000000	good	1237.39355469	0	175.00000000	0.40120037		685	1.00000000
22	25.40000000	0.00000000	good	3797.84863281	0	175.00000000	0.27586186		471	1.00000000
23	13.50000000	0.00000000	mua	1061.88891602	21	187.50000000	0.14290933		244	1.00000000
24	13.90000000	0.00000000	good	1163.35192871	14	0.00000000	1.22585748		2093	2.00000000
25	13.50000000	23.40000000	mua	977.68347168	14	0.00000000	0.64719183		1105	2.00000000
26	14.00000000	0.00000000	good	944.85864258	12	37.50000000	0.43985617		751	2.00000000
27	15.40000000	29.50000000	mua	1270.71948242	13	25.00000000	2.02005850		3449	2.00000000
28	13.80000000	0.00000000	good	981.07312012	11	50.00000000	0.37250136		636	2.00000000
29	14.40000000	32.90000000	mua	1367.81518555	11	50.00000000	1.35822431		2319	2.00000000
30	14.10000000	0.00000000	good	894.40246582	28	100.00000000	0.29343268		501	2.00000000
31	14.90000000	14.40000000	good	1469.97802734	28	100.00000000	3.13053426		5345	2.00000000
32	17.20000000	4.70000000	good	1415.20385742	29	125.00000000	4.98894122		8518	2.00000000
33	14.00000000	37.00000000	mua	824.14648438	8	137.50000000	0.37425845		639	2.00000000
34	14.50000000	0.00000000	good	1322.75122070	9	162.50000000	0.34438805		588	2.00000000
35	22.90000000	85.70000000	mua	1246.37109375	15	175.00000000	3.26348679		5572	2.00000000
36	21.10000000	65.40000000	mua	1110.58190918	31	150.00000000	3.24474458		5540	2.00000000
37	21.70000000	95.00000000	mua	1189.60681152	31	150.00000000	4.86301702		8303	2.00000000
38	13.50000000	0.00000000	mua	1244.73242188	26	187.50000000	0.13470961		230	2.00000000
39	14.10000000	114.30000000	mua	778.54309082	26	187.50000000	0.25946243		443	2.00000000
40	14.00000000	50.00000000	mua	698.67565918	26	187.50000000	0.27117631		463	2.00000000
41	15.80000000	0.00000000	good	1997.34252930	26	187.50000000	0.27761894		474	2.00000000
