cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	14.90000000	400.00000000	mua	1075.16687012	1	0.00000000	0.64488647		1593	1.00000000
1	15.50000000	80.00000000	mua	1658.34814453	1	0.00000000	3.44587173		8512	1.00000000
2	15.60000000	95.20000000	mua	1362.92944336	2	25.00000000	1.83588208		4535	1.00000000
3	15.50000000	64.00000000	mua	1261.00878906	2	25.00000000	0.51615207		1275	1.00000000
4	15.40000000	100.00000000	mua	1576.39550781	2	25.00000000	0.22872621		565	1.00000000
5	33.80000000	0.00000000	good	3536.23852539	2	25.00000000	0.31292985		773	1.00000000
6	25.40000000	3.00000000	good	2959.89672852	2	25.00000000	1.80673467		4463	1.00000000
7	14.60000000	96.30000000	mua	975.81372070	5	62.50000000	1.48327937		3664	1.00000000
8	14.40000000	88.50000000	mua	812.04064941	4	50.00000000	1.13148631		2795	1.00000000
9	14.40000000	73.40000000	mua	991.94238281	22	87.50000000	0.63112242		1559	1.00000000
10	25.30000000	0.00000000	mua	2079.52563477	22	87.50000000	0.38094047		941	1.00000000
11	15.60000000	67.80000000	mua	1718.82324219	19	100.00000000	2.23261073		5515	1.00000000
12	13.60000000	103.00000000	mua	552.44238281	19	100.00000000	2.21844185		5480	1.00000000
13	16.10000000	74.60000000	mua	1577.48461914	18	125.00000000	1.62739713		4020	1.00000000
14	16.60000000	80.00000000	mua	842.74456787	7	137.50000000	3.90494345		9646	1.00000000
15	15.90000000	63.40000000	mua	814.64343262	7	137.50000000	4.46603112		11032	1.00000000
16	15.80000000	166.90000000	mua	1691.47131348	16	150.00000000	0.77321605		1910	1.00000000
17	16.60000000	118.70000000	mua	1774.98706055	16	150.00000000	1.72455516		4260	1.00000000
18	16.50000000	134.60000000	mua	2242.13085938	0	175.00000000	1.00032296		2471	1.00000000
19	15.30000000	126.00000000	mua	1147.56274414	0	175.00000000	0.47364543		1170	1.00000000
20	39.90000000	26.90000000	mua	5242.89208984	0	175.00000000	0.62221626		1537	1.00000000
21	16.00000000	0.00000000	good	1702.58837891	21	187.50000000	0.06922510		171	1.00000000
22	30.20000000	210.50000000	mua	4739.85791016	0	175.00000000	1.02744625		2538	1.00000000
23	60.60000000	147.90000000	mua	8963.48339844	14	0.00000000	0.04857902		120	2.00000000
24	14.70000000	148.70000000	mua	1422.48168945	14	0.00000000	1.43186658		3537	2.00000000
25	14.40000000	264.90000000	mua	1062.86645508	30	12.50000000	0.79507661		1964	2.00000000
26	48.30000000	152.50000000	mua	8428.32421875	14	0.00000000	0.25584950		632	2.00000000
27	117.80000000	0.00000000	mua	16266.33593750	13	25.00000000	0.00404825		10	2.00000000
28	15.40000000	254.70000000	mua	1145.86303711	12	37.50000000	1.03594757		2559	2.00000000
29	16.70000000	261.50000000	mua	1469.80249023	11	50.00000000	3.32928208		8224	2.00000000
30	15.80000000	213.60000000	mua	1196.43652344	11	50.00000000	0.81653234		2017	2.00000000
31	16.60000000	106.40000000	mua	1329.11474609	11	50.00000000	1.76989558		4372	2.00000000
32	96.10000000	480.00000000	mua	13046.05371094	29	125.00000000	0.01457371		36	2.00000000
33	28.40000000	25.40000000	mua	3666.77758789	27	75.00000000	2.84754015		7034	2.00000000
34	14.60000000	86.20000000	mua	680.63848877	25	87.50000000	6.10435852		15079	2.00000000
35	15.50000000	121.80000000	mua	1582.12109375	28	100.00000000	2.86575728		7079	2.00000000
36	13.70000000	84.60000000	mua	656.80511475	25	87.50000000	6.67151857		16480	2.00000000
37	20.20000000	185.20000000	mua	907.72412109	31	150.00000000	0.18500510		457	2.00000000
38	15.50000000	105.10000000	mua	1462.99023438	28	100.00000000	3.72074801		9191	2.00000000
39	15.80000000	170.70000000	mua	1191.03320312	28	100.00000000	1.31365763		3245	2.00000000
40	60.40000000	0.00000000	mua	7271.71826172	8	137.50000000	0.01254958		31	2.00000000
41	14.30000000	112.00000000	mua	1623.19213867	8	137.50000000	7.41923063		18327	2.00000000
42	37.50000000	53.20000000	mua	5379.67578125	8	137.50000000	4.19439344		10361	2.00000000
43	96.90000000	581.10000000	mua	13375.70410156	29	125.00000000	0.01781231		44	2.00000000
44	15.70000000	209.40000000	mua	1060.75207520	29	125.00000000	1.66868929		4122	2.00000000
45	145.90000000	147.20000000	mua	3693.09912109	31	150.00000000	0.02550398		63	2.00000000
46	81.40000000	180.50000000	mua	6223.79248047	26	187.50000000	0.03360049		83	2.00000000
47	104.50000000	153.00000000	mua	5398.09765625	15	175.00000000	0.04372112		108	2.00000000
48	18.30000000	191.70000000	mua	1735.77490234	26	187.50000000	0.15221426		376	2.00000000
49	15.50000000	164.30000000	mua	1699.84057617	26	187.50000000	1.36790420		3379	2.00000000
50	65.30000000	157.60000000	mua	3372.48608398	15	175.00000000	0.12913922		319	2.00000000
